,Rewards Steps
1568,81.42
1569,85.21000000000001
1570,192.0
1571,79.0
1572,59.849999999999994
1573,129.02
1574,78.96
1575,154.0
1576,77.85
1577,65.78
1578,142.0
1579,105.2
1580,101.52000000000001
1581,82.5
1582,99.5
1583,44.54
1584,30.0
1585,18.0
1586,62.0
1587,40.0
1588,134.0
1589,107.46000000000001
1590,55.08
1591,212.0
1592,81.6
1593,117.76000000000002
1594,90.95
1595,90.86999999999999
1596,97.82
1597,91.54
1598,79.13
1599,235.9
1600,84.06
1601,88.0
1602,184.0
1603,49.7
1604,40.0
1605,0.0
1606,128.0
1607,160.3
1608,85.80000000000001
1609,87.2
1610,82.97999999999999
1611,78.74000000000001
1612,252.0
1613,56.160000000000004
1614,196.0
1615,77.44
1616,58.16
1617,187.34
1618,75.12
1619,81.52
1620,82.00999999999999
1621,135.92
1622,170.0
1623,57.900000000000006
1624,151.04000000000002
1625,59.94
1626,17.999999999999996
1627,144.0
1628,145.22
1629,93.53
1630,180.0
1631,51.6
1632,157.89
1633,56.66
1634,162.4
1635,122.82
1636,55.2
1637,82.0
1638,68.0
1639,176.0
1640,64.64
1641,43.15
1642,56.0
1643,138.0
1644,35.86
1645,162.0
1646,153.85999999999999
1647,58.480000000000004
1648,128.0
1649,169.26
1650,80.56
1651,42.0
1652,86.0
1653,200.0
1654,85.0
1655,86.17
1656,194.0
1657,56.67
1658,143.59
1659,120.39999999999999
1660,73.7
1661,82.75
1662,90.84
1663,125.86999999999999
1664,35.65
1665,204.0
1666,78.64
1667,75.42
1668,74.5
1669,41.599999999999994
1670,38.0
1671,132.0
1672,88.39999999999999
1673,20.61
1674,146.0
1675,85.39999999999999
1676,50.44
1677,226.0
1678,83.62
1679,92.99
1680,184.0
1681,46.96
1682,50.0
1683,14.0
1684,220.0
1685,74.80000000000001
1686,118.23
1687,76.56
1688,72.49000000000001
1689,18.08
1690,2.0
1691,30.0
1692,10.0
1693,140.0
1694,86.80000000000001
1695,33.60000000000001
1696,40.0
1697,90.0
1698,70.0
1699,6.0
1700,252.0
1701,96.96000000000001
1702,105.96000000000001
1703,126.6
1704,50.0
1705,132.0
1706,47.36000000000001
1707,26.0
1708,166.0
1709,62.19
1710,13.629999999999994
1711,238.0
1712,77.44
1713,200.0
1714,84.0
1715,71.8
1716,68.55
1717,73.52000000000001
1718,77.75
1719,111.41
1720,220.0
1721,63.4
1722,58.5
1723,202.0
1724,90.49
1725,75.75999999999999
1726,79.74
1727,176.0
1728,102.78
1729,78.6
1730,158.0
1731,124.79
1732,67.44
1733,57.89
1734,50.0
1735,138.0
1736,72.47
1737,132.68
1738,154.58
1739,84.11000000000001
1740,140.0
1741,68.2
1742,96.36
1743,146.52
1744,32.52
1745,212.0
1746,102.24
1747,212.0
1748,72.4
1749,68.32
1750,45.28
1751,152.0
1752,97.0
1753,40.86
1754,66.0
1755,156.0
1756,49.480000000000004
1757,244.0
1758,93.76
1759,76.5
1760,220.54000000000002
1761,58.5
1762,134.0
1763,165.02
1764,71.02
1765,74.64999999999999
1766,57.61
1767,210.0
1768,92.9
1769,63.25
1770,8.0
1771,134.0
1772,67.19
1773,188.0
1774,78.52
1775,61.24
1776,106.24
1777,181.56
1778,83.46000000000001
1779,86.79
1780,60.38
1781,40.0
1782,10.0
1783,162.0
1784,43.42
1785,140.0
1786,24.399999999999995
1787,204.0
1788,71.72
1789,64.8
1790,170.0
1791,157.25
1792,174.0
1793,100.41
1794,68.54
1795,132.20000000000002
1796,38.440000000000005
1797,130.0
1798,85.2
1799,165.3
1800,96.48
1801,55.68
1802,150.0
1803,149.5
1804,68.54
1805,73.74
1806,52.0
1807,108.0
1808,175.8
1809,96.05000000000001
1810,79.83
1811,56.86
1812,24.0
1813,96.0
1814,64.0
1815,114.0
1816,197.61
1817,91.42
1818,84.69999999999999
1819,136.46
1820,116.6
1821,96.0
1822,200.0
1823,69.0
1824,139.92000000000002
1825,80.22
1826,71.99000000000001
1827,39.0
1828,178.0
1829,50.019999999999996
1830,90.0
1831,186.0
1832,56.760000000000005
1833,190.0
1834,106.69999999999999
1835,94.85
1836,110.0
1837,142.04999999999998
1838,79.33
1839,132.52
1840,101.17999999999999
1841,52.0
1842,78.0
1843,60.0
1844,12.0
1845,38.0
1846,188.0
1847,124.00000000000001
1848,38.0
1849,106.0
1850,50.93
1851,6.0
1852,192.0
1853,68.4
1854,68.62
1855,104.86
1856,51.120000000000005
1857,180.0
1858,62.8
1859,212.07999999999998
1860,92.63999999999999
1861,240.0
1862,71.6
1863,31.5
1864,90.0
1865,16.0
1866,66.0
1867,12.0
1868,6.0
1869,134.0
1870,24.570000000000004
1871,80.0
1872,94.0
1873,116.0
1874,42.56
1875,184.0
1876,143.15999999999997
1877,8.0
1878,140.0
1879,159.8
1880,68.98
1881,120.0
1882,95.3
1883,163.6
1884,75.5
